Time,Q1,Q2,T1,T2,TSP1,TSP2
1.410814642906188965e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.885800000000000054e+01,2.827799999999999869e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.509915256500244141e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.889099999999999824e+01,2.834299999999999997e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.609969663619995117e+01,1.000000000000000000e+02,9.070259304998907979e+00,2.898699999999999832e+01,2.821399999999999864e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.709051823616027832e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.895499999999999829e+01,2.837500000000000000e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.809124708175659180e+01,1.000000000000000000e+02,1.851491966205212947e+00,2.911599999999999966e+01,2.831099999999999994e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.908189010620117188e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.921300000000000097e+01,2.827799999999999869e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.008279538154602051e+01,1.000000000000000000e+02,3.445390679532920331e-01,2.924500000000000099e+01,2.824599999999999866e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.107323455810546875e+01,1.000000000000000000e+02,4.180734905923343625e+00,2.930999999999999872e+01,2.818199999999999861e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.207408595085144043e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.950300000000000011e+01,2.824599999999999866e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.306471776962280273e+01,1.000000000000000000e+02,7.716105122910965619e-01,2.956700000000000017e+01,2.821399999999999864e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.406549310684204102e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.963200000000000145e+01,2.827799999999999869e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.505625438690185547e+01,1.000000000000000000e+02,3.223502461098251892e+00,2.989000000000000057e+01,2.821399999999999864e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.605678486824035645e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.982499999999999929e+01,2.821399999999999864e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.704772472381591797e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.998600000000000065e+01,2.821399999999999864e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.804814529418945312e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.024399999999999977e+01,2.821399999999999864e+01,6.000000000000000000e+01,2.834299999999999997e+01
2.903923606872558594e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.043799999999999883e+01,2.824599999999999866e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.003969836235046387e+01,1.000000000000000000e+02,6.631952526662475478e+00,3.059900000000000020e+01,2.814900000000000091e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.103053689002990723e+01,1.000000000000000000e+02,1.816073965156570935e+00,3.076000000000000156e+01,2.811700000000000088e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.203098845481872559e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.085600000000000165e+01,2.837500000000000000e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.302199864387512207e+01,1.000000000000000000e+02,3.962324851756586774e+00,3.117899999999999849e+01,2.827799999999999869e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.402234387397766113e+01,1.000000000000000000e+02,1.852559914793983609e+01,3.127499999999999858e+01,2.805300000000000082e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.501313495635986328e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.146900000000000119e+01,2.824599999999999866e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.601384496688842773e+01,1.000000000000000000e+02,1.234641060521451905e+01,3.179100000000000037e+01,2.808500000000000085e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.700449490547180176e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.192000000000000171e+01,2.814900000000000091e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.800532317161560059e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.221000000000000085e+01,2.818199999999999861e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.899597311019897461e+01,1.000000000000000000e+02,1.763368969068137559e-01,3.256400000000000006e+01,2.814900000000000091e+01,6.000000000000000000e+01,2.834299999999999997e+01
3.999658536911010742e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.266100000000000136e+01,2.824599999999999866e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.098708224296569824e+01,1.000000000000000000e+02,2.003174175636038612e+00,3.278999999999999915e+01,2.818199999999999861e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.198801636695861816e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.311200000000000188e+01,2.831099999999999994e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.297809195518493652e+01,1.000000000000000000e+02,7.097210366092000733e+00,3.327300000000000324e+01,2.818199999999999861e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.397908043861389160e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.353099999999999881e+01,2.827799999999999869e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.496960878372192383e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.385399999999999920e+01,2.824599999999999866e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.597045874595642090e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.404699999999999704e+01,2.821399999999999864e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.696109509468078613e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.430499999999999972e+01,2.824599999999999866e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.796196174621582031e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.436899999999999977e+01,2.821399999999999864e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.895214128494262695e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.462700000000000244e+01,2.824599999999999866e+01,6.000000000000000000e+01,2.834299999999999997e+01
4.995346355438232422e+01,1.000000000000000000e+02,2.887686551447750105e-01,3.533599999999999852e+01,2.818199999999999861e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.094351315498352051e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.514300000000000068e+01,2.818199999999999861e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.194498443603515625e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.539999999999999858e+01,2.843900000000000006e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.293507599830627441e+01,1.000000000000000000e+02,2.605529907105444209e+01,3.562599999999999767e+01,2.808500000000000085e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.393635749816894531e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.597999999999999687e+01,2.814900000000000091e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.492609906196594238e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.604500000000000171e+01,2.827799999999999869e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.592784070968627930e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.643200000000000216e+01,2.831099999999999994e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.691763281822204590e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.665699999999999648e+01,2.831099999999999994e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.791944980621337891e+01,1.000000000000000000e+02,1.347375103121921214e+00,3.697899999999999920e+01,2.821399999999999864e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.890893816947937012e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.723700000000000188e+01,2.831099999999999994e+01,6.000000000000000000e+01,2.834299999999999997e+01
5.991093111038208008e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.749499999999999744e+01,2.824599999999999866e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.090014123916625977e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.756000000000000227e+01,2.834299999999999997e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.190225625038146973e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.801100000000000279e+01,2.843900000000000006e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.289167070388793945e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.820400000000000063e+01,2.837500000000000000e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.389373993873596191e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.852600000000000335e+01,2.831099999999999994e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.488307785987854004e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.881600000000000250e+01,2.831099999999999994e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.588525652885437012e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.894500000000000028e+01,2.853600000000000136e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.687410306930541992e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.917099999999999937e+01,2.840700000000000003e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.787676310539245605e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.959000000000000341e+01,2.856800000000000139e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.886508798599243164e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.981499999999999773e+01,2.856800000000000139e+01,6.000000000000000000e+01,2.834299999999999997e+01
6.986810994148254395e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.007300000000000040e+01,2.856800000000000139e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.085666704177856445e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.026700000000000301e+01,2.866499999999999915e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.185909342765808105e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.062100000000000222e+01,2.860099999999999909e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.284807705879211426e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.078199999999999648e+01,2.856800000000000139e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.385015034675598145e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.116899999999999693e+01,2.863299999999999912e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.483955454826354980e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.132999999999999829e+01,2.866499999999999915e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.584162306785583496e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.155599999999999739e+01,2.860099999999999909e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.683101630210876465e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.178099999999999881e+01,2.866499999999999915e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.783307075500488281e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.223199999999999932e+01,2.866499999999999915e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.882247829437255859e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.249000000000000199e+01,2.879400000000000048e+01,6.000000000000000000e+01,2.834299999999999997e+01
7.982455515861511230e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.268399999999999750e+01,2.863299999999999912e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.081373620033264160e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.300600000000000023e+01,2.876200000000000045e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.181598544120788574e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.326400000000000290e+01,2.889099999999999824e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.280514383316040039e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.345700000000000074e+01,2.892299999999999827e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.380707550048828125e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.377900000000000347e+01,2.898699999999999832e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.479662084579467773e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.403699999999999903e+01,2.905199999999999960e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.579859304428100586e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.435900000000000176e+01,2.895499999999999829e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.678808283805847168e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.464900000000000091e+01,2.895499999999999829e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.779013705253601074e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.493900000000000006e+01,2.921300000000000097e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.877910804748535156e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.513300000000000267e+01,2.918100000000000094e+01,6.000000000000000000e+01,2.834299999999999997e+01
8.978109121322631836e+01,8.136319697244849181e+01,0.000000000000000000e+00,4.571300000000000097e+01,2.924500000000000099e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.077051949501037598e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.574499999999999744e+01,2.930999999999999872e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.177210450172424316e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.597099999999999653e+01,2.921300000000000097e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.276177668571472168e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.613199999999999790e+01,2.924500000000000099e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.376313352584838867e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.639000000000000057e+01,2.921300000000000097e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.475305867195129395e+01,9.392436830104550438e+01,0.000000000000000000e+00,4.671200000000000330e+01,2.927700000000000102e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.575449013710021973e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.684100000000000108e+01,2.927700000000000102e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.674411225318908691e+01,9.953370218374737988e+01,0.000000000000000000e+00,4.706600000000000250e+01,2.943799999999999883e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.774587154388427734e+01,9.849725754970243941e+01,0.000000000000000000e+00,4.729200000000000159e+01,2.947100000000000009e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.873505210876464844e+01,8.219017197963478338e+01,0.000000000000000000e+00,4.767900000000000205e+01,2.947100000000000009e+01,6.000000000000000000e+01,2.834299999999999997e+01
9.973736643791198730e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.784000000000000341e+01,2.956700000000000017e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.007260479927062988e+02,7.193435508782384602e+01,0.000000000000000000e+00,4.829099999999999682e+01,2.963200000000000145e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.017286891937255859e+02,9.566370749970670317e+01,0.000000000000000000e+00,4.845199999999999818e+01,2.953500000000000014e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.027170665264129639e+02,9.470066611018663139e+01,0.000000000000000000e+00,4.861299999999999955e+01,2.969600000000000151e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.037200314998626709e+02,7.943804018665834121e+01,0.000000000000000000e+00,4.893599999999999994e+01,2.969600000000000151e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.047080652713775635e+02,9.480993358421879691e+01,0.000000000000000000e+00,4.906400000000000006e+01,2.979299999999999926e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.057110490798950195e+02,6.493050041838597508e+01,0.000000000000000000e+00,4.951599999999999824e+01,2.989000000000000057e+01,6.000000000000000000e+01,2.834299999999999997e+01
